State,Crop,Year,Rainfall,Temperature,Area,Production
Maharashtra,Wheat,2016,249,29,559,1937
Uttar Pradesh,Sugarcane,2022,218,31,926,2777
Rajasthan,Bajra,2020,71,28,1233,995
Bihar,Rice,2021,250,26,628,1851
Tamil Nadu,Maize,2018,85,32,1705,2050
Tamil Nadu,Maize,2018,100,28,1270,1171
Madhya Pradesh,Maize,2017,118,25,1520,1747
Gujarat,Maize,2017,105,31,1221,1636
Rajasthan,Soybean,2021,200,26,1631,3572
Maharashtra,Bajra,2021,226,23,1986,4934
Madhya Pradesh,Bajra,2020,214,20,1106,1731
Uttar Pradesh,Maize,2020,117,35,1300,2243
Punjab,Maize,2016,112,31,1042,1319
Gujarat,Wheat,2021,78,20,1494,778
Karnataka,Maize,2017,215,30,1396,3927
Haryana,Bajra,2020,92,20,710,473
Maharashtra,Wheat,2022,93,20,858,518
Rajasthan,Wheat,2023,115,26,1987,1932
Haryana,Maize,2019,223,31,761,2180
Rajasthan,Rice,2015,145,27,1353,1739
Madhya Pradesh,Sugarcane,2017,236,29,1723,5009
Uttar Pradesh,Wheat,2023,79,20,718,515
Bihar,Soybean,2015,142,23,521,700
Tamil Nadu,Soybean,2019,76,32,966,1094
Tamil Nadu,Soybean,2020,114,26,1281,1671
Tamil Nadu,Rice,2023,95,21,571,439
Maharashtra,Sugarcane,2017,107,26,575,592
Karnataka,Wheat,2018,249,22,1089,2456
Bihar,Soybean,2021,78,27,803,743
Punjab,Sugarcane,2023,191,30,1857,3585
Karnataka,Rice,2015,109,24,1604,1547
Rajasthan,Wheat,2015,161,26,1588,2786
Tamil Nadu,Soybean,2015,178,24,1169,2079
Gujarat,Rice,2016,203,32,1426,4083
Haryana,Rice,2021,212,33,1967,5910
Maharashtra,Wheat,2018,112,31,1562,1750
Gujarat,Rice,2021,124,29,1169,1775
Rajasthan,Bajra,2018,171,23,1830,2648
Karnataka,Maize,2021,86,35,1012,1087
Tamil Nadu,Sugarcane,2017,247,26,968,2869
Maharashtra,Wheat,2018,231,29,1137,3035
Bihar,Bajra,2018,247,24,1184,2974
Uttar Pradesh,Rice,2016,71,22,1508,901
Tamil Nadu,Maize,2019,191,33,1724,4882
Gujarat,Bajra,2016,105,26,626,584
Karnataka,Maize,2021,219,23,654,1082
Punjab,Maize,2019,70,28,1411,912
Punjab,Maize,2022,71,25,819,687
Madhya Pradesh,Wheat,2016,87,32,1085,1187
Maharashtra,Maize,2016,130,33,1367,1961
Tamil Nadu,Soybean,2015,187,23,1054,1974
Rajasthan,Sugarcane,2017,231,23,737,1543
Karnataka,Wheat,2017,153,25,1096,1958
Punjab,Bajra,2019,184,22,1039,1527
Bihar,Maize,2022,176,28,1612,3747
Rajasthan,Rice,2015,154,27,575,907
Uttar Pradesh,Maize,2020,221,22,976,1618
Haryana,Wheat,2022,211,27,1160,3082
Punjab,Rice,2021,183,22,1501,2048
Karnataka,Soybean,2015,145,28,1448,1995
Maharashtra,Rice,2019,175,33,656,1714
Gujarat,Soybean,2016,76,28,1599,1338
Karnataka,Bajra,2022,186,24,1241,2387
Haryana,Wheat,2019,77,24,778,579
Tamil Nadu,Sugarcane,2018,195,33,518,1307
Uttar Pradesh,Wheat,2017,250,20,1058,1950
Punjab,Rice,2021,248,33,1608,4368
Haryana,Soybean,2019,111,34,1242,1989
Gujarat,Soybean,2015,216,22,1301,2149
Bihar,Soybean,2021,85,31,1389,1490
Maharashtra,Maize,2022,101,32,1473,1728
Haryana,Wheat,2016,195,32,1736,3828
Karnataka,Rice,2021,144,33,1636,3062
